CLUSTER LEVEL 0,ELEMENT NAME,HIERARCHY ID,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.1,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.2
SYSTEM,Element 1,1.1,,,,,,,,,0.6567759,,,,,,,,0.965193734,0.238836637,,
,,,,,,,,,,,0.319627252,,,,,,,,0.234322153,0.067060297,,
SYSTEM,Element 2,1.2,,,,0.503510221,,,,,,,,0.001601707,,,,,0.447190911,0.043087322,,
,,,,,,0.920781209,,,,,,,,0.150084162,,,,,0.565850996,0.734653138,,
SYSTEM,Element 3,1.3,,,,0.084871716,,,,,,,,,,,,,0.878069821,0.083885257,,
,,,,,,0.028838989,,,,,,,,,,,,,0.020833906,0.236946477,,
SYSTEM,Element 4,1.4,,0.503510221,0.084871716,,,,,,,,,,,,,,0.79416129,0.267111253,,
,,,,0.920781209,0.028838989,,,,,,,,,,,,,,0.798852834,0.888328539,,
SYSTEM,Element 5,1.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
SYSTEM,Element 6,1.6,,,,,,,,,,,,,,,0.952174793,,0.387353715,,,
,,,,,,,,,,,,,,,,,0.926096174,,0.840573336,,,
SYSTEM,Element 7,1.7,,,,,,,,,,,,,,,,0.218152621,0.880525693,0.541625371,,
,,,,,,,,,,,,,,,,,,0.563802236,0.485215316,0.200317089,,
SYSTEM,Element 8,1.8,,,,,,,,,,,0.59578614,,,,,0.181271552,0.71719776,0.140027572,,
,,,,,,,,,,,,,0.143296119,,,,,0.208680441,0.93026458,0.25940915,,
SYSTEM,Element 9,1.9,0.6567759,,,,,,,,,,,,,0.11573094,,,0.644114693,0.560091253,,
,,,0.319627252,,,,,,,,,,,,,0.961269243,,,0.695039271,0.890859951,,
SYSTEM,Element 10,1.1,,,,,,,,,,,,,,,,,0.909876161,0.142028731,,
,,,,,,,,,,,,,,,,,,,0.309789923,0.691026109,,
SYSTEM,Element 11,1.11,,,,,,,,0.59578614,,,,,,,,,0.733740612,0.703979233,,
,,,,,,,,,,0.143296119,,,,,,,,,0.57350139,0.747726324,,
SYSTEM,Element 12,1.12,,0.001601707,,,,,,,,,,,,,,,0.875729723,0.900650363,,
,,,,0.150084162,,,,,,,,,,,,,,,0.596902027,0.583533954,,
SYSTEM,Element 13,1.13,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
SYSTEM,Element 14,1.14,,,,,,,,,0.11573094,,,,,,,,0.886432797,,,
,,,,,,,,,,,0.961269243,,,,,,,,0.903470815,,,
SYSTEM,Element 15,1.15,,,,,,0.952174793,,,,,,,,,,,0.207901748,0.286766772,,
,,,,,,,,0.926096174,,,,,,,,,,,0.832650048,0.556690154,,
SYSTEM,Element 16,1.16,,,,,,,0.218152621,0.181271552,,,,,,,,,0.985585769,0.44334367,,
,,,,,,,,,0.563802236,0.208680441,,,,,,,,,0.466173375,0.942359406,,
SYSTEM,Element 17,1.17,0.965193734,0.447190911,0.878069821,0.79416129,,0.387353715,0.880525693,0.71719776,0.644114693,0.909876161,0.733740612,0.875729723,,0.886432797,0.207901748,0.985585769,,,,
,,,0.234322153,0.565850996,0.020833906,0.798852834,,0.840573336,0.485215316,0.93026458,0.695039271,0.309789923,0.57350139,0.596902027,,0.903470815,0.832650048,0.466173375,,,,
SYSTEM,Element 18,1.18,0.238836637,0.043087322,0.083885257,0.267111253,,,0.541625371,0.140027572,0.560091253,0.142028731,0.703979233,0.900650363,,,0.286766772,0.44334367,,,,
,,,0.067060297,0.734653138,0.236946477,0.888328539,,,0.200317089,0.25940915,0.890859951,0.691026109,0.747726324,0.583533954,,,0.556690154,0.942359406,,,,
SYSTEM,Element 19,1.19,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
SYSTEM,Element 20,1.2,,,,,,,,,,,,,,,,,,,,
